Phase,Time,Frequency,Failures
Validation,1,7,7
Validation,2,1,8
Validation,3,28,36
Validation,4,9,45
Validation,5,15,60
Validation,6,14,74
Validation,7,8,82
Validation,8,16,98
Validation,9,8,106
Validation,10,9,115
Validation,11,5,120
Validation,12,14,134
Validation,13,5,139
Validation,14,3,142
Validation,15,3,145
Validation,16,8,153
Validation,17,14,167
Validation,18,7,174
Validation,19,9,183
Validation,20,13,196
Validation,21,4,200
Validation,22,14,214
Validation,23,9,223
Validation,24,23,246
Validation,25,11,257
Validation,26,20,277
Validation,27,6,283
Validation,28,3,286
Validation,29,6,292
Validation,30,5,297
FieldTrial,31,4,301
FieldTrial,32,1,302
FieldTrial,33,8,310
FieldTrial,34,7,317
FieldTrial,35,2,319
FieldTrial,36,4,323
FieldTrial,37,1,324
FieldTrial,38,14,338
FieldTrial,39,4,342
FieldTrial,40,3,345
FieldTrial,41,5,350
FieldTrial,42,2,352
Operation,43,4,356
Operation,44,11,367
Operation,45,6,373
Operation,46,0,373
Operation,47,5,378
Operation,48,3,381
Operation,49,2,383
Operation,50,1,384
Operation,51,0,384
Operation,52,3,387
Operation,53,0,387
Operation,54,0,387
Operation,55,1,388
Operation,56,5,393
Operation,57,5,398
Operation,58,2,400
Operation,59,7,407
Operation,60,6,413
Operation,61,1,414
Operation,62,5,419
Operation,63,1,420
Operation,64,3,423
Operation,65,6,429
Operation,66,11,440
Operation,67,3,443
Operation,68,5,448
Operation,69,6,454
Operation,70,2,456
Operation,71,0,456
Operation,72,0,456
Operation,73,1,457
Operation,74,1,458
Operation,75,1,459
Operation,76,0,459
Operation,77,0,459
Operation,78,1,460
Operation,79,0,460
Operation,80,0,460
Operation,81,1,461
